F,witness,factorization,phi,next
71,6668696999,1907 * 3496957,6665198136,6665198137
70,6665198137,13 * 512707549,6152490576,6152490577
69,6152490577,1709 * 3600053,6148888816,6148888817
68,6148888817,75503 * 81439,6148731876,6148731877
